Messe;Halle;Sektor;Standnummer;Kunde;Kommission;Auftragsmenge;Kurztext;Interner Text;Artikel-Nr.;Liefertermin (Möbel);Uhrzeit Lieferung;Kontakt vor Ort;Obergruppe;Verantwortlich;Nummer;Veranstaltungsbeginn;Datum;Person/Zeichen;Auftragsart
HIGH END 2026, Wien;-2/X1;LP.X123;Reserve;Messebau Rappenglitz Service GmbH, Maisach;;4,00;Thekenschrank PURO COUNTER, weiß;;1388;;;;Möbel;Sophia Kistler;550917;04.06.2026;03.11.2025;Sophia Kistler;Möbel
HIGH END 2026, Wien;-2/X1;LP.X123;Reserve;Messebau Rappenglitz Service GmbH, Maisach;;2,00;Kunststoffregal STACK schwarz;;1169;;;;Möbel;Sophia Kistler;550917;04.06.2026;03.11.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;111;Time Module Ltd., NIL Kowloon;;2,00;Barhocker LEM weiß;;1022;;;;Möbel;Jan Ressel;551566;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;111;Time Module Ltd., NIL Kowloon;;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Jan Ressel;551566;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;111;Time Module Ltd., NIL Kowloon;;1,00;CLASSICO Aufsatz für Bartheke;;2025;;;;Möbel;Jan Ressel;551566;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;111;Time Module Ltd., NIL Kowloon;;1,00;Kaffeemaschine NESPRESSO (nur in Riem);;1064;;;;Kaffemaschinen;Jan Ressel;551566;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;113;WW Europe sp. z o.o., Elblag;;2,00;PICO Plexihaube;;2096;;;;Möbel;Jan Ressel;551889;20.02.2026;13.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;113;WW Europe sp. z o.o., Elblag;;2,00;PICO Korpus weiß;;2097;;;;Möbel;Jan Ressel;551889;20.02.2026;13.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;113;WW Europe sp. z o.o., Elblag;;3,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Jan Ressel;551889;20.02.2026;13.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;113;WW Europe sp. z o.o., Elblag;;3,00;CLASSICO Tischvitrinen-Aufsatz;;2078;;;;Möbel;Jan Ressel;551889;20.02.2026;13.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;113;WW Europe sp. z o.o., Elblag;;4,00;Stuhl SWING schwarz;;1245;;;;Möbel;Jan Ressel;551889;20.02.2026;13.01.2026;Jasna Pejic;Möbel
analytica 2026, München;A1;;114;Meplan, München;Green Scientific PTY LTD;2,00;Tischvitrine VITREO 102;;1504;;;;Möbel;Sophia Kistler;551973;24.03.2026;16.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;114;Meplan, München;Green Scientific PTY LTD;2,00;Stuhl MUNICH grün;;1216;;;;Möbel;Sophia Kistler;551973;24.03.2026;16.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;115;Resonac Europe GmbH, München;Resonac;1,00;Kunststoffregal STACK weiß;;1168;;;;Möbel;Silke Kirsch;551848;24.03.2026;13.01.2026;Nicole Dollmann;Standbau
analytica 2026, München;A1;;115;Resonac Europe GmbH, München;Resonac;1,00;NINO 80 Tischplatte rund schwarz;für NINO LOW schwarz;2070;;;;Möbel;Silke Kirsch;551848;24.03.2026;13.01.2026;Nicole Dollmann;Standbau
analytica 2026, München;A1;;115;Resonac Europe GmbH, München;Resonac;1,00;NINO/ENNO Loungetischgestell H 60cm;für NINO LOW schwarz;2093;;;;Möbel;Silke Kirsch;551848;24.03.2026;13.01.2026;Nicole Dollmann;Standbau
analytica 2026, München;A1;;129A;Meplan, München;MINITUBES;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Jan Ressel;551803;24.03.2026;08.01.2026;Jasna Pejic;Möbel
IFAT 2026, München;A1;;130;Supratec Gesellschaft für Umwelt- und... , Simmern/Hünsrück;;1,00;Industrie-Spülmaschine (nur in Riem);;1204;;;;Spülmaschinen;Jan Ressel;551610;04.05.2026;11.12.2025;Jasna Pejic;Möbel
analytica 2026, München;A1;;133A;Meplan, München;sibata Scientific Technology Ltd;1,00;MUNICH 160x70 Tischgestell, chrom;für Platte 160x70 weiß;2086;;;;Möbel;Sophia Kistler;551657;24.03.2026;16.12.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;133A;Meplan, München;sibata Scientific Technology Ltd;1,00;MUNICH 160x70 Platte weiß;für Gestell 160x70 chrom;2042;;;;Möbel;Sophia Kistler;551657;24.03.2026;16.12.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;135;Sun Yin Crystal Industry Co., Ltd;;4,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Jan Ressel;551565;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;135;Sun Yin Crystal Industry Co., Ltd;;1,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Jan Ressel;551565;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;135;Sun Yin Crystal Industry Co., Ltd;;1,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Jan Ressel;551565;20.02.2026;08.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;135;Sun Yin Crystal Industry Co., Ltd;;2,00;Tischvitrine VITREO 102;;1504;;;;Möbel;Jan Ressel;551565;20.02.2026;08.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;A1;;153;Meplan, München;WATROPUR GmbH Schlammtrocknungstechnik;2,00;Prospektständer LEGIO 70;;1152 | 546;;;;Möbel;Sophia Kistler;551372;04.05.2026;21.11.2025;Sophia Kistler;Möbel
IFAT 2026, München;A1;;201;Meplan, München;TRISLOT N.V.;2,00;PICO Plexihaube;;2096;;;;Möbel;Sophia Kistler;551893;04.05.2026;14.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;201;Meplan, München;TRISLOT N.V.;2,00;PICO Korpus weiß;;2097;;;;Möbel;Sophia Kistler;551893;04.05.2026;14.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;211;Meplan, München;RephiLe Bioscience Ltd.;1,00;PISA 80x80 Tischplatte grau;;2046;;;;Möbel;Sophia Kistler;551042;24.03.2026;11.11.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;211;Meplan, München;RephiLe Bioscience Ltd.;1,00;PISA 80x80 Tischgestelll chrom/schwarz;;2048;;;;Möbel;Sophia Kistler;551042;24.03.2026;11.11.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;211;Meplan, München;RephiLe Bioscience Ltd.;1,00;PISA 120x80 Tischplatte grau;für Gestell 120x80;2067;;;;Möbel;Sophia Kistler;551042;24.03.2026;11.11.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;211;Meplan, München;RephiLe Bioscience Ltd.;1,00;PISA 120x80 Tischgestell chrom/schwarz;mit Platte 120x80 grau;2047;;;;Möbel;Sophia Kistler;551042;24.03.2026;11.11.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;211;Meplan, München;RephiLe Bioscience Ltd.;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Sophia Kistler;551042;24.03.2026;11.11.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;223;Meplan, München;Filtratech;1,00;Tischvitrine VITREO 145;;1507;;;;Möbel;Sophia Kistler;551228;24.03.2026;17.11.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;17,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;3,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;3,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;4,00;MUNICH 70x70 Platte weiß;chrom;2045;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;4,00;MUNICH 70x70 Tischgestell, chrom;;2043;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228A;MONTRES MICHEL HERBELIN, CHARQUEMONT;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551766;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228B;Pierre Lannier Sarl, ERNOLSHEIM LES SAVERNE;;10,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551764;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228B;Pierre Lannier Sarl, ERNOLSHEIM LES SAVERNE;;3,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Jan Ressel;551764;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228B;Pierre Lannier Sarl, ERNOLSHEIM LES SAVERNE;;3,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Jan Ressel;551764;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228B;Pierre Lannier Sarl, ERNOLSHEIM LES SAVERNE;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551764;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;7,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;1,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;1,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;1,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 schwarz;2045;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;1,00;MUNICH 70x70 Tischgestell, schwarz;für Platte 70x70 weiß;2107;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228C;SMB SAS, BESANCON Cedex 9;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551765;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228D;KELTON SAS, Boulogne Billancourt;;4,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551763;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228D;KELTON SAS, Boulogne Billancourt;;1,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Jan Ressel;551763;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228D;KELTON SAS, Boulogne Billancourt;;1,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Jan Ressel;551763;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228D;KELTON SAS, Boulogne Billancourt;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551763;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228E;Rochet Group, Haute-Savoie;;4,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551767;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228E;Rochet Group, Haute-Savoie;;1,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Jan Ressel;551767;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228E;Rochet Group, Haute-Savoie;;1,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Jan Ressel;551767;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228E;Rochet Group, Haute-Savoie;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551767;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228G;MONTRES AMBRE SA, MORTEAU;;5,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551762;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228G;MONTRES AMBRE SA, MORTEAU;;2,00;MUNICH 70x70 Platte weiß;chrom;2045;;;;Möbel;Jan Ressel;551762;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228G;MONTRES AMBRE SA, MORTEAU;;2,00;MUNICH 70x70 Tischgestell, chrom;;2043;;;;Möbel;Jan Ressel;551762;20.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;228G;MONTRES AMBRE SA, MORTEAU;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;551762;20.02.2026;07.01.2026;Jasna Pejic;Möbel
analytica 2026, München;A1;;230B;ACD/Labs, Frankfurt am Main;;1,00;Arbeitsplatz PURO PC;;1379;;;;Möbel;Jan Ressel;552114;24.03.2026;21.01.2026;Jasna Pejic;Möbel
IFAT 2026, München;A1;;252;Meplan, München;Matec S.R.L.;2,00;MUNICH 130x70 Platte weiß;für Gestell 130x70 chrom;2054;;;;Möbel;Sophia Kistler;552211;04.05.2026;23.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;252;Meplan, München;Matec S.R.L.;2,00;MUNICH 130x70 Tischgestell, chrom;für Platte 130x70 weiß;2052;;;;Möbel;Sophia Kistler;552211;04.05.2026;23.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;252;Meplan, München;Matec S.R.L.;1,00;Lagerregal RACK alu;;1166;;;;Möbel;Sophia Kistler;552211;04.05.2026;23.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;252;Meplan, München;Matec S.R.L.;1,00;Papierkorb DUSTIN schwarz;;1189 | 510;;;;Möbel;Sophia Kistler;552211;04.05.2026;23.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;252;Meplan, München;Matec S.R.L.;1,00;Flaschenkühlschrank BOTTLE M;;1092;;;;Möbel;Sophia Kistler;552211;04.05.2026;23.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;305;Messeprojekt GmbH, Leipzig;HAASE Tank GmbH;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Sophia Kistler;552181;04.05.2026;22.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;305;Messeprojekt GmbH, Leipzig;HAASE Tank GmbH;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Sophia Kistler;552181;04.05.2026;22.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;305;Messeprojekt GmbH, Leipzig;HAASE Tank GmbH;5,00;Barhocker LEM weiß;;1022;;;;Möbel;Sophia Kistler;552181;04.05.2026;22.01.2026;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;309i;MMG, Messe München GmbH;Salon Suisse;2,00;Infotheke OCTA INFO schwarz mit Türen;;1370;;;;Möbel;Jan Ressel;551753;20.02.2026;05.01.2026;Jan Ressel;Möbel
Inhorgenta 2026, München;A1;;310;Montres Edox & Vista SA, Les Genevez;;1,00;Sideboard PURO;;1383;;;;Möbel;Jan Ressel;552007;20.02.2026;19.01.2026;Jasna Pejic;Möbel
analytica 2026, München;A1;;314;Postnova Analytics GmbH, Landsberg a Lech;;2,00;Couch IMOLA DOUBLE weiß;;1117;;;;Möbel;Jan Ressel;551553;24.03.2026;05.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;321B;Otto Christoffel GmbH, Bad Sobernheim;;24,00;Stuhl VITA schwarz;;1230;;;;Möbel;Jan Ressel;551734;20.02.2026;18.12.2025;Jasna Pejic;Möbel
analytica 2026, München;A1;;324;Meplan, München;Starna Scientific Ltd.;2,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Sophia Kistler;551737;24.03.2026;19.12.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;324;Meplan, München;Starna Scientific Ltd.;2,00;Schrankvitrine GIGANTE CAB 105;;1497;;;;Möbel;Sophia Kistler;551737;24.03.2026;19.12.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;324;Meplan, München;Starna Scientific Ltd.;1,00;Kunststoffregal STACK weiß;;1168;;;;Möbel;Sophia Kistler;551737;24.03.2026;19.12.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;329;TIMEWAY FRANCE SAS, PARIS;;6,00;Stuhl HAY weiß;;1263;;;;Möbel;Jan Ressel;551649;20.02.2026;15.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;329;TIMEWAY FRANCE SAS, PARIS;;2,00;NINO 100 Tischplatte rund weiß;;2066;;;;Möbel;Jan Ressel;551649;20.02.2026;15.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;329;TIMEWAY FRANCE SAS, PARIS;;2,00;NINO/ENNO Sitztischgestell H75cm, chrom;;2055;;;;Möbel;Jan Ressel;551649;20.02.2026;15.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;A1;;351;Meplan, München;TIA Technologien zur Industrieabwasser-Behandlung GmbH;1,00;Kühlschrank COOL M (140);weiß/grau;1100 | 600;;;;Möbel;Sophia Kistler;551948;04.05.2026;15.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;351;Meplan, München;TIA Technologien zur Industrieabwasser-Behandlung GmbH;4,00;Barhocker CUBE weiß;;1025;;;;Möbel;Sophia Kistler;551948;04.05.2026;15.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;411;Meplan, München;Ulvac;1,00;Kunststoffregal STACK weiß;;1168;;;;Möbel;Sophia Kistler;551995;24.03.2026;19.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;413;Meplan, München;Helbling Technik Wil AG;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Sophia Kistler;551656;24.03.2026;18.12.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;413;Meplan, München;Helbling Technik Wil AG;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Sophia Kistler;551656;24.03.2026;18.12.2025;Sophia Kistler;Möbel
analytica 2026, München;A1;;413;Meplan, München;Helbling Technik Wil AG;4,00;Barhocker MIURA weiß;;1011;;;;Möbel;Sophia Kistler;551656;24.03.2026;18.12.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;A1;;415;Citizen Watch Co., Ltd., Tokyo;;1,00;VERRA 70 Tischplatte rund Glas;;2068;;;;Möbel;Jan Ressel;552121;20.02.2026;21.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;415;Citizen Watch Co., Ltd., Tokyo;;1,00;VERRA 70 Adapter für Glasplatte;;2069;;;;Möbel;Jan Ressel;552121;20.02.2026;21.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;415;Citizen Watch Co., Ltd., Tokyo;;1,00;NINO/ENNO Sitztischgestell H75cm, chrom;;2055;;;;Möbel;Jan Ressel;552121;20.02.2026;21.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;421;Cavalry Limited, HKG Kowloon;;1,00;Prospektständer FILO;;1157;;;;Möbel;Jan Ressel;551493;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;421;Cavalry Limited, HKG Kowloon;;1,00;PICO Plexihaube;;2096;;;;Möbel;Jan Ressel;551493;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;421;Cavalry Limited, HKG Kowloon;;1,00;PICO Korpus weiß;;2097;;;;Möbel;Jan Ressel;551493;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;421;Cavalry Limited, HKG Kowloon;;2,00;Stuhl MUNICH schwarz;;1219;;;;Möbel;Jan Ressel;551493;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;A1;;421;Cavalry Limited, HKG Kowloon;;1,00;Tischvitrine VITREO 145;;1507;;;;Möbel;Jan Ressel;551493;20.02.2026;02.12.2025;Jasna Pejic;Möbel
analytica 2026, München;A1;;431/3;Meplan, München;ZIBO RONGDIAN;1,00;Schrankvitrine GIGANTE CAB 105;;1497;;;;Möbel;Jan Ressel;552146;24.03.2026;22.01.2026;Jasna Pejic;Möbel
analytica 2026, München;A1;;431/4;Meplan, München;J-Tron;1,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Jan Ressel;552180;24.03.2026;22.01.2026;Jasna Pejic;Standbau
analytica 2026, München;A1;;431/7;Meplan, München;Welch (Jinhua) ;1,00;Schrankvitrine GIGANTE CAB 105;;1497;;;;Möbel;Jan Ressel;552147;24.03.2026;22.01.2026;Jasna Pejic;Möbel
analytica 2026, München;A1;;509;Meplan, München;GL Sciences Inc. Department;1,00;Prospektständer ZICKZACK;;1160;;;;Möbel;Sophia Kistler;551880;24.03.2026;13.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;509;Meplan, München;GL Sciences Inc. Department;2,00;PISA 120x80 Tischgestell chrom/schwarz;;2047;;;;Möbel;Sophia Kistler;551880;24.03.2026;13.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A1;;509;Meplan, München;GL Sciences Inc. Department;2,00;PISA 120x80 Tischplatte weiß;;2094;;;;Möbel;Sophia Kistler;551880;24.03.2026;13.01.2026;Sophia Kistler;Möbel
IFAT 2026, München;A1;;529;Meplan, München;Norddeutsche Seekabelwerke GmbH;1,00;PISA 80x80 Tischplatte grau;;2046;;;;Möbel;Sophia Kistler;551180;04.05.2026;13.11.2025;Sophia Kistler;Möbel
IFAT 2026, München;A1;;529;Meplan, München;Norddeutsche Seekabelwerke GmbH;1,00;PISA 80x80 Tischgestelll chrom/schwarz;;2048;;;;Möbel;Sophia Kistler;551180;04.05.2026;13.11.2025;Sophia Kistler;Möbel
IFAT 2026, München;A2;;106;Meplan, München;Viscotherm;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Jan Ressel;551548;04.05.2026;05.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;A2;;106;Meplan, München;Viscotherm;1,00;Stehtisch LIDO HIGH weiß;;1468;;;;Möbel;Jan Ressel;551548;04.05.2026;05.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;A2;;106;Meplan, München;Viscotherm;1,00;LIDO Husse weiß;;2034;;;;Möbel;Jan Ressel;551548;04.05.2026;05.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;A2;;106;Meplan, München;Viscotherm;1,00;Kunststoffregal STACK weiß;;1168;;;;Möbel;Jan Ressel;551548;04.05.2026;05.12.2025;Jasna Pejic;Möbel
analytica 2026, München;A2;;113;Meplan, München;Airtech Corporation;1,00;TURIN/UDINE 120x80 Tischplatte weiß;;2082;;;;Möbel;Sophia Kistler;551643;24.03.2026;16.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A2;;113;Meplan, München;Airtech Corporation;4,00;TURIN Tisch Fuß;;2026;;;;Möbel;Sophia Kistler;551643;24.03.2026;16.01.2026;Sophia Kistler;Möbel
analytica 2026, München;A2;;115;Meplan, München;Mitsuwa Electric Co., Ltd.;2,00;Barhocker ZETT weiß;;1004;;;;Möbel;Sophia Kistler;552217;24.03.2026;26.01.2026;Sophia Kistler;Möbel
Inhorgenta 2026, München;A2;;115;Yabanci GmbH, Pforzheim;;6,00;Stuhl KUADRA weiß;;1539;;;;Möbel;Jan Ressel;552001;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;115;Yabanci GmbH, Pforzheim;;2,00;MUNICH 130x70 Platte weiß;für Gestell 130x70 chrom;2054;;;;Möbel;Jan Ressel;552001;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;115;Yabanci GmbH, Pforzheim;;2,00;MUNICH 130x70 Tischgestell, chrom;für Platte 130x70 weiß;2052;;;;Möbel;Jan Ressel;552001;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;8,00;Stuhl VOLT weiß;;1269;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;2,00;MUNICH 130x70 Platte weiß;für Gestell 130x70 chrom;2054;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;2,00;MUNICH 130x70 Tischgestell, chrom;für Platte 130x70 weiß;2052;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;6,00;PICO Plexihaube;;2096;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;A2;;132;Majorica Internacional S.L., Manacor;;6,00;PICO Korpus weiß;;2097;;;;Möbel;Jan Ressel;552096;20.02.2026;20.01.2026;Jasna Pejic;Möbel
IFAT 2026, München;A2;;132;Meplan, München;Harter GmbH;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Sophia Kistler;551687;04.05.2026;17.12.2025;Sophia Kistler;Möbel
IFAT 2026, München;A2;;132;Meplan, München;Harter GmbH;1,00;CLASSICO Tischvitrinen-Aufsatz;;2078;;;;Möbel;Sophia Kistler;551687;04.05.2026;17.12.2025;Sophia Kistler;Möbel
IFAT 2026, München;A2;;132;Meplan, München;Harter GmbH;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Sophia Kistler;551687;04.05.2026;17.12.2025;Sophia Kistler;Möbel
