Kunde/Lieferant;Kommission;Liefertermin (Möbel);Halle;Sektor;Standnummer;Artikel-Nr.;Liefermenge;Einheit;Kurztext;Langtext;zusatzinfo Lieferschein Position;Ansprechpartner Kunde;Verantwortlich intern;Lieferschein Nummer;Lieferschein Datum;Artikel Obergruppe;lieferschein Notiz;Messe;Art;Person/Zeichen;Kopfprojektnummer;Veranstaltungsbeginn;Veranstaltungsende;Abholtermin;Begründung Liefersperre;NICHT liefern;Uhrzeit Lieferung;Lieferort;Kontakt vor Ort
Meplan, München;Obzeetek Electronic Limited;;11.1; ;C56;1214 | 500;3,00;Stück;Stuhl MUNICH anthrazit;"MUNICH Polsterstuhl, anthrazit Polster, Gestell 
verchromt, BxTxH: 51x56x85cm, SH: 45cm";;Qinglian Xu;Melanie Eiblmeier;633822;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Obzeetek Electronic Limited;;11.1; ;C56;2043;1,00;x;MUNICH 70x70 Tischgestell, chrom;MUNICH 70x70 Tischgestell chrom;;Qinglian Xu;Melanie Eiblmeier;633822;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Obzeetek Electronic Limited;;11.1; ;C56;2045;1,00;x;MUNICH 70x70 Platte weiß;MUNICH 70x70 Tischplatte weiß;chrom;Qinglian Xu;Melanie Eiblmeier;633822;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Obzeetek Electronic Limited;;11.1; ;C56;1189 | 510;1,00;Stück;Papierkorb DUSTIN schwarz;DUSTIN Papierkorb schwarz, ØxH: 30x42cm;;Qinglian Xu;Melanie Eiblmeier;633822;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Obzeetek Electronic Limited;;11.1; ;C56;1362 | 201;1,00;Stück;Infotheke OCTA INFO 108 silber mit Türen;"OCTA INFO Infotheke mit Schiebetüren, 
weiß versperrbar, Rahmen Alu natur
BxTxH: 103x52x108cm";;Qinglian Xu;Melanie Eiblmeier;633822;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2052;1,00;x;MUNICH 130x70 Tischgestell, chrom;MUNICH 130x70 Tischgestell chrom;für Platte 130x70 weiß;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2061;1,00;x;NINO 70 Tischplatte rund weiß;NINO 70 Tischplatte rund weiß;für Sitztischgestell chrom;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;1264;5,00;pcs;Stuhl VOLT blau;"Chair VOLT blue, polypropylene
51x53x78 cm, sh 46 cm";;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;1145;2,00;pcs;Sessel ARENA weiß;"Chair ARENA white, synthetic leather
67x68x75 cm, sh 44 cm";;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2054;1,00;x;MUNICH 130x70 Platte weiß;MUNICH 130x70 Tischplatte weiß;für Gestell 130x70 chrom;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;1003;4,00;pcs;Barhocker ZETT schwarz;"ZETT barstool black, faux leather 
chrome, Ø: 35cm, SH: 82cm";;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2072;4,00;x;LEVANTE HIGH Fuß Höhe 110cm weiß;LEVANTE HIGH Fuß Höhe 110cm;für Platte 170x60;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;1362;2,00;x;Infotheke OCTA INFO 108 silber mit Türen;"Counter OCTA INFO 108 white, with 
sliding doors, lockable, chipboard, 
aluminium, 103x52x108 cm";;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2055;1,00;x;NINO/ENNO Sitztischgestell H75cm, chrom;"NINO/ENNO Sitztischgestell H 75cm
Chrom Ø: 8cm, Länge: 67cm";für Platte 70 rund weiß;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;1168;1,00;pc;Kunststoffregal STACK weiß;"Plastic shelf STACK white, 5 shelves
75x30x170 cm";;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
daVinci Editrice S.r.l., Perugia/Italien;;;10.1; ;C13;2075;2,00;x;LEVANTE 170x60 Platte weiß;LEVANTE 170x60 Tischplatte;für Stehtisch;Giacomo Boncio;Florian Wider;633825;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; ;A40;2086;1,00;x;MUNICH 160x70 Tischgestell chrom;MUNICH 160x70 Tischgestell chrom;für Platte 160x70 weiß;Daniela Voegele;Florian Wider;633811;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; ;A40;2042;1,00;x;MUNICH 160x70 Platte weiß;MUNICH 160x70 Tischplatte weiß;für Gestell 160x70 chrom;Daniela Voegele;Florian Wider;633811;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
MARTINEX OY;;;10.0; ;H11;1539;12,00;x;Stuhl KUADRA weiß;"Chair KUADRA white, plastic, chrome 
48x53x86 cm, SH 46 cm";;Jenni Jalava;Florian Wider;633813;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
MARTINEX OY;;;10.0; ;H11;2044;3,00;x;MUNICH 70x70 Platte schwarz;MUNICH 70x70 Tischplatte schwarz;für Gestell 70 schwarz;Jenni Jalava;Florian Wider;633813;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
MARTINEX OY;;;10.0; ;H11;1100;1,00;x;Kühlschrank COOL M (140);"COOL M refrigerator, capacity approx. 
140L, extra freezer compartment, WxDxH: 
ca. 59x60x85cm";weiß/grau;Jenni Jalava;Florian Wider;633813;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
MARTINEX OY;;;10.0; ;H11;2107;3,00;x;MUNICH 70x70 Tischgestell, schwarz;MUNICH 70x70 Tischgestell schwarz;für Platte 70 schwarz;Jenni Jalava;Florian Wider;633813;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
MARTINEX OY;;;10.0; ;H11;1049;1,00;x;Garderobenständer DONNA;"Coat stand DONNA, satin stainless steel
Ø 40x186 cm";;Jenni Jalava;Florian Wider;633813;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
EDV 2000 SYSTEMBETREUUNG GMBH;;;C4;;172;1100;1,00;Stück;Kühlschrank COOL M (140);"COOL M Kühlschrank, Inhalt ca. 140l 
extra Gefrierabteil, BxTxH: ca. 59x60x85cm";weiß/grau;;Melanie Eiblmeier;633831;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:45;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
EDV 2000 SYSTEMBETREUUNG GMBH;;;C4;;172;2059;2,00;x;NINO 70 Tischplatte rund schwarz;NINO 70 Tischplatte rund schwarz;für Stehtisch, chrom;;Melanie Eiblmeier;633831;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:45;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
EDV 2000 SYSTEMBETREUUNG GMBH;;;C4;;172;2057;2,00;x;NINO/ENNO Stehtischgestell H 110cm, chrom;"NINO/ENNO Stehtischgestell H 110cm
Chrom, Ø: 8cm, Länge: 102cm";;;Melanie Eiblmeier;633831;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:45;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
EDV 2000 SYSTEMBETREUUNG GMBH;;;C4;;172;1017;6,00;Stück;Barhocker CATIFA BAR weiß/grün;"CATIFA BAR Barhocker weiß/grün, Chrom 
Kunststoff, BxTxH: 62x51x111cm, SH: 76cm";;;Melanie Eiblmeier;633831;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:45;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;1362 | 201;1,00;Stück;Infotheke OCTA INFO 108 silber mit Türen;"OCTA INFO Infotheke mit Schiebetüren, weiß
versperrbar, Rahmen Alu natur
BxTxH: 103x52x108cm";mit Schiebetüren;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;2045;1,00;x;MUNICH 70x70 Platte weiß;MUNICH 70x70 Tischplatte weiß;chrom;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;1214 | 500;4,00;Stück;Stuhl MUNICH anthrazit;"MUNICH Polsterstuhl, anthrazit Polster, Gestell
verchromt, BxTxH: 51x56x85cm, SH: 45cm";;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;2045;1,00;x;MUNICH 70x70 Platte weiß;MUNICH 70x70 Tischplatte weiß;chrom;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;1189 | 510;1,00;Stück;Papierkorb DUSTIN schwarz;DUSTIN Papierkorb schwarz, ØxH: 30x42cm;;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;2043;1,00;x;MUNICH 70x70 Tischgestell, chrom;MUNICH 70x70 Tischgestell chrom;;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;2043;1,00;x;MUNICH 70x70 Tischgestell, chrom;MUNICH 70x70 Tischgestell chrom;;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Wrebbit Puzzles Inc;;10.1; ;C18;1214 | 500;2,00;Stück;Stuhl MUNICH anthrazit;"MUNICH Polsterstuhl, anthrazit Polster, Gestell
verchromt, BxTxH: 51x56x85cm, SH: 45cm";;Qinglian Xu;Melanie Eiblmeier;633819;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;1166;2,00;Stück;Lagerregal RACK alu;"RACK Lagerregal 5 Böden, Spanplatte Alu
BxTxH: 95x30x185cm";;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;1028;1,00;Stück;Barhocker VOLT BAR blau;"VOLT BAR Barhocker blau, Kunststoff 
stapelbar, BxTxH: 49x48x86cm, SH: 76cm";;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;1324;1,00;Stück;Bartheke PURO BAR weiß;"PURO BAR Bartheke weiß, verschließbar 
Spanplatte, BxTxH: 95x60x90/110cm";;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;2061;6,00;x;NINO 70 Tischplatte rund weiß;NINO 70 Tischplatte rund weiß;;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;2055;6,00;x;NINO/ENNO Sitztischgestell H 75cm, chrom;"NINO/ENNO Sitztischgestell H 75cm
Chrom Ø: 8cm, Länge: 67cm";;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Licensing International - Wiederverwendung;;Foyer 12.0; ;07;1160;1,00;Stück;Prospektständer ZICKZACK;"ZICKZACK Prospektständer, Acrylglas 
6 Fächer DIN A4, BxTxH: 30x30x150cm";;Nina Schmidpeter;Florian Wider;633814;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1184;1,00;Stück;Müllsackständer TRASH;"TRASH Müllsackständer inkl. 5 Müllsäcke 
á 120 l, BxTxH: 40x75cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1031;1,00;Stück;Barhocker VOLT BAR rot;"VOLT BAR Barhocker, rot Kunststoff, stapelbar
BxTxH: 49x48x86cm, SH: 76cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1218;2,00;Stück;Stuhl MUNICH rot;"MUNICH Polsterstuhl, rot Polster, Chrom
BxTxH: 51x56x85cm, SH: 45cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2073;4,00;x;LEVANTE Fuß Höhe 75cm weiß;LEVANTE Fuß Höhe 75cm;3 Stück / Spax 5x80 mm;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1031;12,00;Stück;Barhocker VOLT BAR rot;"VOLT BAR Barhocker, rot Kunststoff, 
stapelbar, BxTxH: 49x48x86cm, SH: 76cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2074;3,00;x;LEVANTE 120x60 Platte weiß;LEVANTE 120x60 Tischplatte;für Stehtisch;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1094;1,00;Stück;Flaschenkühlschrank BOTTLE L;"BOTTLE L Flaschenkühlschrank Inhalt ca. 
350 l, verschließbar, BxTxH: 60x60x159cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1397;1,00;Stück;Loungetisch ARONA;"ARONA Loungetisch verchromt, 
höhenverstellb., BxH: 51x56-91cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1384;1,00;Stück;Sideboard DADO grau;"DADO Sideboard grau abschließbar, 
Spanplatte, BxTxH: 80x40x80cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1267;8,00;Stück;Stuhl VOLT rot;"VOLT Stuhl, rot Kunststoff stapelbar 
BxTxH: 51x53x78cm, SH: 46cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1146;2,00;Stück;Sessel CUBICO rot;"CUBICO Sessel, rot Kunstleder
BxTxH: 63x55x74cm, SH: 45cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2054;1,00;x;MUNICH 130x70 Platte weiß;MUNICH 130x70 Tischplatte weiß;für Gestell 130x70 chrom;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;1218;4,00;Stück;Stuhl MUNICH rot;"MUNICH Polsterstuhl, rot Polster, Chrom
BxTxH: 51x56x85cm, SH: 45cm";;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2052;1,00;x;MUNICH 130x70 Tischgestell, chrom;MUNICH 130x70 Tischgestell chrom;für Platte 130x70 weiß;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2074;2,00;x;LEVANTE 120x60 Platte weiß;LEVANTE 120x60 Tischplatte;für Sitztisch;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Ludo Fact GmbH, Jettingen-Scheppach;;;10.1; ;C03;2072;6,00;x;LEVANTE HIGH Fuß Höhe 110cm weiß;LEVANTE HIGH Fuß Höhe 110cm;;Markus Weigand;Georg  Knopp;633812;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Blob Invest sr;;10.0; ;C21;1003 | 502;1,00;Stück;Barhocker ZETT schwarz;"ZETT Barhocker, schwarz Kunstleder, 
Chrom, Ø: 35cm, SH: 82cm";;Isabel Rank;Melanie Eiblmeier;633820;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Blob Invest sr;;10.0; ;C21;1189 | 510;1,00;Stück;Papierkorb DUSTIN schwarz;DUSTIN Papierkorb schwarz, ØxH: 30x42cm;;Isabel Rank;Melanie Eiblmeier;633820;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
